Sno,Branches,CurrentDep,SavingsDep,CASA,TermDep,AggregateDep,RetailCredit,Agriculture,BusinessCredit,AggregateCredit,AggregateBusiness,DATE
64,BRANCH-64,291,2012,2303,2988,5291,1263,913,872,3048,8339,16-12-22
65,BRANCH-65,289,1921,2210,2937,5147,1317,981,990,3288,8435,16-12-22
66,BRANCH-66,299,1983,2282,2912,5194,1309,834,939,3082,8276,16-12-22
67,BRANCH-67,298,2010,2308,2993,5301,1209,899,854,2962,8263,16-12-22
68,BRANCH-68,291,1981,2272,2946,5218,1217,910,847,2974,8192,16-12-22
69,BRANCH-69,298,2099,2397,2905,5302,1349,965,952,3266,8568,16-12-22
70,BRANCH-70,291,1965,2256,2922,5178,1351,963,803,3117,8295,16-12-22
71,BRANCH-71,286,1988,2274,2975,5249,1293,854,892,3039,8288,16-12-22
72,BRANCH-72,300,2016,2316,2984,5300,1303,973,959,3235,8535,16-12-22
73,BRANCH-73,296,2080,2376,2958,5334,1311,922,877,3110,8444,16-12-22
74,BRANCH-74,285,1935,2220,2962,5182,1336,967,914,3217,8399,16-12-22
75,BRANCH-75,290,1940,2230,2946,5176,1290,977,930,3197,8373,16-12-22
76,BRANCH-76,281,1941,2222,2996,5218,1256,975,924,3155,8373,16-12-22
77,BRANCH-77,295,2068,2363,2910,5273,1225,897,906,3028,8301,16-12-22
78,BRANCH-78,284,2111,2395,2981,5376,1335,918,934,3187,8563,16-12-22
79,BRANCH-79,282,2044,2326,2997,5323,1377,858,871,3106,8429,16-12-22
80,BRANCH-80,281,1941,2222,2954,5176,1308,908,860,3076,8252,16-12-22
81,BRANCH-81,296,2021,2317,2947,5264,1249,978,900,3127,8391,16-12-22
82,BRANCH-82,289,2046,2335,2907,5242,1382,969,868,3219,8461,16-12-22
83,BRANCH-83,284,2116,2400,2990,5390,1317,853,852,3022,8412,16-12-22
84,BRANCH-84,290,2063,2353,2916,5269,1372,937,918,3227,8496,16-12-22
85,BRANCH-85,299,2071,2370,2920,5290,1311,899,899,3109,8399,16-12-22
86,BRANCH-86,293,1920,2213,2933,5146,1324,934,921,3179,8325,16-12-22
87,BRANCH-87,292,2090,2382,2945,5327,1214,817,993,3024,8351,16-12-22
88,BRANCH-88,288,2006,2294,2969,5263,1376,951,957,3284,8547,16-12-22
89,BRANCH-89,299,2011,2310,2998,5308,1287,863,860,3010,8318,16-12-22
90,BRANCH-90,292,1986,2278,2936,5214,1323,846,800,2969,8183,16-12-22
91,BRANCH-91,285,2024,2309,2929,5238,1391,941,971,3303,8541,16-12-22
92,BRANCH-92,300,2025,2325,2967,5292,1343,860,993,3196,8488,16-12-22
93,BRANCH-93,284,1942,2226,2929,5155,1236,980,974,3190,8345,16-12-22
94,BRANCH-94,299,2095,2394,2973,5367,1227,1000,969,3196,8563,16-12-22
95,BRANCH-95,291,1965,2256,2996,5252,1229,855,918,3002,8254,16-12-22
96,BRANCH-96,290,1980,2270,2960,5230,1357,822,894,3073,8303,16-12-22
97,BRANCH-97,282,2109,2391,2938,5329,1344,843,928,3115,8444,16-12-22
98,BRANCH-98,281,2061,2342,2963,5305,1279,978,889,3146,8451,16-12-22
99,BRANCH-99,300,2099,2399,2989,5388,1267,978,977,3222,8610,16-12-22
100,BRANCH-100,293,2004,2297,2909,5206,1397,903,912,3212,8418,16-12-22
