Sno,Branches,CurrentDep,SavingsDep,CASA,TermDep,AggregateDep,RetailCredit,Agriculture,BusinessCredit,AggregateCredit,AggregateBusiness,DATE
27,BRANCH-27,302,2048,2396,2904,5254,1289,823,854,2978,8232,31-03-22
28,BRANCH-28,305,2070,2407,2917,5292,1306,938,865,3094,8386,31-03-22
29,BRANCH-29,311,2001,2334,2938,5250,1232,971,974,3214,8464,31-03-22
30,BRANCH-30,312,2070,2320,2989,5371,1300,874,947,3139,8510,31-03-22
31,BRANCH-31,306,2100,2428,2980,5386,1251,922,903,3167,8553,31-03-22
32,BRANCH-32,306,2050,2355,2931,5287,1323,822,999,3180,8467,31-03-22
33,BRANCH-33,304,2049,2466,2989,5342,1317,828,903,3019,8361,31-03-22
34,BRANCH-34,317,2091,2447,2955,5363,1346,801,889,3020,8383,31-03-22
35,BRANCH-35,300,2035,2443,2986,5321,1351,823,939,3033,8354,31-03-22
36,BRANCH-36,306,2085,2313,2988,5379,1301,882,801,3069,8448,31-03-22
37,BRANCH-37,320,2069,2372,2961,5350,1243,933,950,3200,8550,31-03-22
38,BRANCH-38,311,2051,2382,2922,5284,1336,929,870,3052,8336,31-03-22
39,BRANCH-39,316,2027,2356,2953,5296,1282,908,802,2996,8292,31-03-22
40,BRANCH-40,308,2016,2353,2922,5246,1363,966,803,3128,8374,31-03-22
41,BRANCH-41,313,2070,2423,2948,5331,1276,988,914,3155,8486,31-03-22
42,BRANCH-42,305,2050,2314,2979,5334,1342,875,949,3222,8556,31-03-22
43,BRANCH-43,318,2029,2304,2951,5298,1260,962,813,3087,8385,31-03-22
44,BRANCH-44,305,2060,2489,2943,5308,1323,895,914,3126,8434,31-03-22
45,BRANCH-45,309,2037,2344,2924,5270,1263,808,801,2917,8187,31-03-22
46,BRANCH-46,308,2037,2452,2949,5294,1304,813,918,3013,8307,31-03-22
47,BRANCH-47,301,2047,2323,2998,5346,1377,869,826,2956,8302,31-03-22
48,BRANCH-48,307,2041,2400,2938,5286,1265,924,852,3137,8423,31-03-22
49,BRANCH-49,300,2026,2453,2964,5290,1378,906,907,3202,8492,31-03-22
50,BRANCH-50,315,2044,2302,2919,5278,1319,852,988,3176,8454,31-03-22
51,BRANCH-51,313,2028,2315,2901,5242,1273,846,1000,3138,8380,31-03-22
52,BRANCH-52,313,2042,2444,2920,5275,1286,961,976,3336,8611,31-03-22
53,BRANCH-53,304,2095,2459,2971,5370,1230,906,806,3099,8469,31-03-22
54,BRANCH-54,311,2041,2371,2966,5318,1297,820,995,3071,8389,31-03-22
55,BRANCH-55,305,2068,2327,2948,5321,1253,843,901,3126,8447,31-03-22
56,BRANCH-56,318,2098,2400,2948,5364,1277,845,848,3026,8390,31-03-22
57,BRANCH-57,313,2012,2406,2977,5302,1241,919,950,3175,8477,31-03-22
58,BRANCH-58,319,2045,2348,2995,5359,1207,828,901,3019,8378,31-03-22
59,BRANCH-59,303,2054,2429,2960,5317,1396,908,860,3132,8449,31-03-22
60,BRANCH-60,314,2025,2372,2928,5267,1318,888,834,3093,8360,31-03-22
61,BRANCH-61,311,2012,2396,2901,5224,1251,910,858,3051,8275,31-03-22
62,BRANCH-62,302,2091,2324,2978,5371,1210,809,853,3045,8416,31-03-22
63,BRANCH-63,315,2041,2322,2971,5327,1334,922,909,3034,8361,31-03-22
64,BRANCH-64,306,2059,2318,2913,5278,1206,913,872,3048,8326,31-03-22
65,BRANCH-65,311,2082,2384,2984,5377,1342,981,990,3288,8665,31-03-22
66,BRANCH-66,319,2010,2472,2968,5297,1333,834,939,3082,8379,31-03-22
67,BRANCH-67,319,2049,2433,2913,5281,1350,899,854,2962,8243,31-03-22
68,BRANCH-68,318,2012,2414,2940,5270,1369,910,847,2974,8244,31-03-22
69,BRANCH-69,302,2041,2432,2993,5336,1348,965,952,3266,8602,31-03-22
70,BRANCH-70,308,2054,2375,2944,5306,1204,963,803,3117,8423,31-03-22
71,BRANCH-71,319,2061,2362,2944,5324,1202,854,892,3039,8363,31-03-22
72,BRANCH-72,318,2046,2392,2930,5294,1377,973,959,3235,8529,31-03-22
73,BRANCH-73,318,2065,2314,2937,5320,1234,922,877,3110,8430,31-03-22
74,BRANCH-74,306,2058,2382,2982,5346,1274,967,914,3217,8563,31-03-22
75,BRANCH-75,315,2079,2388,2964,5358,1236,977,930,3197,8555,31-03-22
76,BRANCH-76,313,2004,2467,2956,5273,1343,975,924,3155,8428,31-03-22
77,BRANCH-77,320,2071,2443,2966,5357,1306,897,906,3028,8385,31-03-22
78,BRANCH-78,315,2087,2449,2984,5386,1333,918,934,3187,8573,31-03-22
79,BRANCH-79,314,2004,2337,2994,5312,1313,858,871,3106,8418,31-03-22
80,BRANCH-80,305,2068,2458,2947,5320,1299,908,860,3076,8396,31-03-22
81,BRANCH-81,310,2084,2321,2990,5384,1239,978,900,3127,8511,31-03-22
82,BRANCH-82,301,2071,2480,2967,5339,1200,969,868,3219,8558,31-03-22
83,BRANCH-83,308,2066,2301,2936,5310,1233,853,852,3022,8332,31-03-22
84,BRANCH-84,301,2096,2361,2965,5362,1242,937,918,3227,8589,31-03-22
85,BRANCH-85,320,2009,2377,2947,5276,1310,899,899,3109,8385,31-03-22
86,BRANCH-86,319,2036,2473,2912,5267,1312,934,921,3179,8446,31-03-22
87,BRANCH-87,311,2053,2338,2928,5292,1351,817,993,3024,8316,31-03-22
88,BRANCH-88,315,2028,2482,2952,5295,1281,951,957,3284,8579,31-03-22
89,BRANCH-89,309,2006,2462,2973,5288,1214,863,860,3010,8298,31-03-22
90,BRANCH-90,300,2042,2331,2965,5307,1325,846,800,2969,8276,31-03-22
91,BRANCH-91,318,2035,2481,2994,5347,1271,941,971,3303,8650,31-03-22
92,BRANCH-92,304,2099,2429,2962,5365,1202,860,993,3196,8561,31-03-22
93,BRANCH-93,315,2092,2479,2978,5385,1263,980,974,3190,8575,31-03-22
94,BRANCH-94,320,2055,2303,2924,5299,1373,1000,969,3196,8495,31-03-22
95,BRANCH-95,312,2008,2387,2972,5292,1312,855,918,3002,8294,31-03-22
96,BRANCH-96,316,2057,2488,2944,5317,1376,822,894,3073,8390,31-03-22
97,BRANCH-97,303,2007,2411,2976,5286,1238,843,928,3115,8401,31-03-22
98,BRANCH-98,302,2005,2325,2926,5233,1273,978,889,3146,8379,31-03-22
99,BRANCH-99,318,2035,2450,2986,5339,1394,978,977,3222,8561,31-03-22
100,BRANCH-100,319,2092,2459,2952,5363,1209,903,912,3212,8575,31-03-22
